# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	66286
#@/user_id	71310d17-cb9e-48fd-97c9-73e0aea664c1
bai shi ke le 	百事可樂	c=1 d=1 t=66286
bai shou qi jia 	白手起家	c=1 d=4.94866e-19 t=66286
bai si 	白絲	c=1 d=0.99005 t=66286
bai tian 	白天	c=2 d=6.27367e-16 t=66286
bai ting 	白聽	c=1 d=3.73809e-42 t=66286
bai tuo 	擺脫	c=1 d=0.831104 t=66286
bai wan 	百萬	c=2 d=1.80074 t=66286
bai wan ji 	百萬級	c=1 d=1 t=66286
bai yang zuo 	白羊座	c=1 d=0.995012 t=66286
bai yu 	白玉	c=1 d=1.67735e-26 t=66286
bai yun 	白雲	c=2 d=1.46946e-22 t=66286
bai zhi 	白紙	c=2 d=1.47451e-38 t=66286
bai zi 	白字	c=1 d=0.985112 t=66286
ban 	半	c=7 d=0.98823 t=66286
ban 	拌	c=2 d=0.985112 t=66286
ban 	班	c=0 d=6.08411e-09 t=66286
ban 	辦	c=10 d=1.60933 t=66286
ban 	闆	c=2 d=1.18575e-30 t=66286
ban ben 	版本	c=46 d=5.44906 t=66286
ban ben hao 	版本號	c=30 d=9.07254 t=66286
ban chu qu 	搬出去	c=1 d=1.14629e-18 t=66286
ban dao 	搬到	c=1 d=0.960789 t=66286
ban fa 	辦法	c=13 d=2.86017 t=66286
ban fen zhong 	半分鐘	c=1 d=3.15359e-71 t=66286
ban ge 	半個	c=2 d=0.900325 t=66286
ban ge yue 	半個月	c=1 d=7.31257e-54 t=66286
ban gong 	辦公	c=3 d=0.726149 t=66286
ban gong ruan jian 	辦公軟件	c=1 d=0.238115 t=66286
ban gong shi 	辦公室	c=17 d=0.223132 t=66286
ban ji qun 	班级群	c=1 d=1.78131e-57 t=66286
ban kuai 	板塊	c=5 d=2.12987 t=66286
ban lai 	搬來	c=0 d=0.0965605 t=66286
ban lai le 	搬來了	c=1 d=0.970446 t=66286
ban li 	辦理	c=6 d=2.49468 t=66286
ban liao 	辦了	c=1 d=0.494109 t=66286
ban lu 	半路	c=1 d=4.6627e-54 t=66286
ban lu shang 	半路上	c=1 d=1.03947e-73 t=66286
ban ma xian 	斑馬線	c=1 d=0.869358 t=66286
ban mao qian 	半毛錢	c=1 d=0.089656 t=66286
ban mao qian guan xi 	半毛錢關係	c=1 d=0.900325 t=66286
ban nian 	半年	c=9 d=1.99746 t=66286
ban nian qian 	半年前	c=2 d=0.869358 t=66286
ban quan 	版權	c=1 d=5.82947e-05 t=66286
ban shang lai 	搬上來	c=1 d=1.21859e-61 t=66286
ban shui 	半睡	c=1 d=3.60645e-32 t=66286
ban tian 	半天	c=3 d=0.00364281 t=66286
ban tou ming 	半透明	c=1 d=0.900325 t=66286
ban xiao shi 	半小時	c=6 d=0.235746 t=66286
ban yan 	扮演	c=1 d=4.18996e-61 t=66286
ban yun 	搬運	c=4 d=1.77564 t=66286
ban zhang 	半張	c=2 d=2.42749e-06 t=66286
ban zhang 	班長	c=7 d=2.842e-57 t=66286
ban zhou le 	半週了	c=1 d=1.5712e-51 t=66286
ban zhu ren 	班主任	c=1 d=0.918512 t=66286
ban zi 	板子	c=2 d=0.904837 t=66286
bang 	幫	c=4 d=0.218712 t=66286
bang 	綁	c=3 d=1.53438 t=66286
bang chui 	棒槌	c=4 d=3.0765 t=66286
bang ding 	綁定	c=8 d=2.39208 t=66286
bang ding le 	綁定了	c=1 d=0.960789 t=66286
bang mang 	幫忙	c=7 d=1.29307 t=66286
bang ni 	幫你	c=3 d=4.23725e-46 t=66286
bang ren 	幫人	c=3 d=0.444306 t=66286
bang wo 	幫我	c=74 d=6.88672 t=66286
bang wo de 	幫我的	c=1 d=1.91672e-66 t=66286
bang wo kan kan 	幫我看看	c=1 d=8.78544e-07 t=66286
bang wo zhao zhao 	幫我找找	c=1 d=1.15813e-80 t=66286
bang yang 	榜樣	c=2 d=0.995012 t=66286
bang yi xia 	幫一下	c=1 d=0.701173 t=66286
bang zhu 	幫助	c=4 d=0.882497 t=66286
bang zhu guo 	幫助過	c=1 d=2.56652e-30 t=66286
bang zhuo 	幫着	c=13 d=1.89452 t=66286
bao 	報	c=2 d=0.527292 t=66286
bao 	寶	c=5 d=1.95556 t=66286
bao 	抱	c=2 d=2.02902e-30 t=66286
bao an 	保安	c=9 d=2.94941e-31 t=66286
bao an gang 	保安崗	c=1 d=5.71658e-69 t=66286
bao bao 	抱抱	c=3 d=0.603506 t=66286
bao chi 	保持	c=17 d=2.63488 t=66286
bao chi geng xin 	保持更新	c=1 d=0.980199 t=66286
bao chu 	爆出	c=1 d=0.467666 t=66286
bao cun 	保存	c=6 d=2.11524 t=66286
bao cun le 	保存了	c=1 d=0.856415 t=66286
bao cuo 	報錯	c=6 d=1.83292 t=66286
bao dao 	報到	c=1 d=1.06785e-37 t=66286
bao dao 	報道	c=1 d=9.72595e-27 t=66286
bao de 	包的	c=1 d=0.955997 t=66286
bao fei 	保費	c=1 d=0.794534 t=66286
bao guan 	保管	c=1 d=4.50554e-33 t=66286
bao guo 	包裹	c=1 d=0.194952 t=66286
bao guo wo 	抱過我	c=1 d=1.84376e-80 t=66286
bao han 	包含	c=2 d=0.0381969 t=66286
bao hao 	保號	c=1 d=2.34084e-06 t=66286
bao hu 	保護	c=7 d=0.991522 t=66286
bao hu ceng 	保護層	c=2 d=1.0987e-75 t=66286
bao jia 	保價	c=2 d=2.17143e-33 t=66286
bao jin 	抱緊	c=1 d=8.34364e-47 t=66286
bao jing 	報警	c=1 d=2.58246e-44 t=66286
bao kuo 	包括	c=18 d=1.5514 t=66286
bao kuo dan bu xian yu 	包括但不限于	c=6 d=2.08851 t=66286
bao le 	包了	c=1 d=1.12165e-27 t=66286
bao le 	報了	c=1 d=6.92595e-62 t=66286
bao liao 	爆料	c=1 d=2.11261e-05 t=66286
bao liu 	保留	c=6 d=1.15818 t=66286
bao liu zai 	保留在	c=2 d=0.83527 t=66286
bao ming 	保命	c=1 d=2.17978e-79 t=66286
bao ming 	包名	c=5 d=1.02621 t=66286
bao ming 	報名	c=1 d=8.32635e-52 t=66286
bao ping an 	保平安	c=1 d=0.941765 t=66286
bao qi 	抱起	c=1 d=0.995012 t=66286
bao qian 	抱歉	c=74 d=4.08627 t=66286
bao qian bao qian 	抱歉抱歉	c=1 d=1.89384e-13 t=66286
bao qian cai kan dao 	抱歉才看到	c=2 d=0.918512 t=66286
bao qian da rao 	抱歉打擾	c=1 d=1.89056e-22 t=66286
bao xian 	保險	c=16 d=6.00422 t=66286
bao xiu 	保修	c=1 d=0.814647 t=66286
bao yi 	褒義	c=1 d=0.774916 t=66286
bao yin bao shi 	暴飲暴食	c=1 d=0.99005 t=66286
bao you 	保佑	c=1 d=0.66365 t=66286
bao you 	包邮	c=2 d=0.994842 t=66286
bao zang 	寶藏	c=1 d=9.47068e-67 t=66286
bao zha 	爆炸	c=4 d=2.201 t=66286
bao zhe 	抱着	c=2 d=6.95261e-19 t=66286
bao zheng 	保證	c=3 d=0.852728 t=66286
bao zheng jin 	保證金	c=1 d=2.30827e-47 t=66286
bao zhu 	包住	c=1 d=2.78123e-34 t=66286
bao zhuang 	包裝	c=2 d=0.108067 t=66286
bao zi 	包子	c=6 d=0.878095 t=66286
bao zou 	抱走	c=1 d=7.34298e-44 t=66286
bei 	唄	c=77 d=6.9514 t=66286
bei 	杯	c=0 d=0.0524663 t=66286
bei 	碑	c=3 d=1.13854e-06 t=66286
bei 	背	c=4 d=2.40329 t=66286
bei 	被	c=108 d=5.0391 t=66286
bei 	貝	c=2 d=5.54007e-39 t=66286
bei an 	備案	c=1 d=0.323033 t=66286
bei bao 	悲報	c=1 d=0.995012 t=66286
bei bei 	貝貝	c=1 d=4.21598e-75 t=66286
bei chu xing 	被處刑	c=1 d=0.806541 t=66286
bei fa xian 	被发现	c=1 d=1.43597e-51 t=66286
bei fen 	備份	c=24 d=4.93439 t=66286
bei fen hai yuan 	備份還原	c=1 d=0.113042 t=66286
bei gai 	杯蓋	c=0 d=9.46969e-08 t=66286
bei gu 	碑穀	c=1 d=1 t=66286
bei guan 	北關	c=1 d=3.38121e-38 t=66286
bei guo 	背過	c=1 d=1.21945e-40 t=66286
bei hou 	背後	c=1 d=0.677057 t=66286
bei jiao 	被叫	c=1 d=1.47517e-15 t=66286
bei jing 	背景	c=16 d=2.13631 t=66286
bei jing lu 	北京路	c=4 d=4.51997e-08 t=66286
bei jing nan lu 	北京南路	c=17 d=4.46058 t=66286
